decade, abiealba, fagusilv, elevation, area
1, 1884.44, 1795.56, 742, 0.5625
1, 1989.82, 1598.55, 743, 0.6875
1, 2263, 1442, 744, 1
1, 2057.6, 1785.6, 745, 0.625
1, 2385.6, 1449.6, 746, 0.625
1, 2006.67, 1656, 747, 0.75
1, 1920, 1618.29, 748, 0.4375
1, 1948.57, 1709.71, 749, 0.875
1, 1614.86, 1726.86, 750, 0.875
1, 1782.4, 1780.8, 751, 0.625
1, 2386.67, 1425.78, 752, 1.125
1, 1712, 1882.67, 753, 0.75
1, 1891.56, 1742.22, 754, 0.5625
1, 1706.18, 1904, 755, 0.6875
1, 2260.57, 1378.29, 756, 0.875
1, 2157.71, 1165.71, 757, 0.4375
1, 2142.4, 1475.2, 758, 0.625
1, 1940.92, 1619.69, 759, 0.8125
1, 1728, 2128, 760, 0.6875
1, 2110.86, 1395.43, 761, 0.875
1, 1458.46, 1892.92, 762, 0.8125
1, 2661.33, 770.667, 763, 0.375
1, 1898, 1702, 764, 0.5
1, 1994.67, 1693.87, 765, 0.9375
1, 2064, 1670.4, 766, 0.625
1, 2170.67, 1310.22, 767, 0.5625
1, 1748, 1693.33, 768, 0.75
1, 1675.43, 1746.29, 769, 0.4375
1, 2526, 1266, 770, 0.5
1, 2068.92, 1489.23, 771, 0.8125
1, 2021.33, 1664, 772, 0.5625
1, 1909.33, 1707.73, 773, 0.9375
1, 1566.67, 1937.33, 774, 0.75
1, 1886, 1800, 775, 0.5
1, 2166.86, 1268.57, 776, 0.4375
1, 2332.8, 1240, 777, 0.625
1, 1976.89, 1685.33, 778, 0.5625
1, 1729.78, 1667.56, 779, 0.5625
1, 2318.67, 1316, 780, 0.75
1, 2054.4, 1562.4, 781, 1.25
1, 1993.6, 1692.8, 782, 0.625
1, 1924.8, 1430.4, 783, 0.625
1, 1714, 1799, 784, 1
1, 2049.6, 1734.4, 785, 0.625
1, 2297.6, 1302.4, 786, 0.3125
1, 1948.31, 1771.08, 787, 0.8125
1, 2038.4, 1443.2, 788, 0.625
1, 1673.6, 1902.4, 789, 0.625
1, 2019.69, 1719.38, 790, 0.8125
1, 1981.09, 1687.27, 791, 0.6875
1, 2093.71, 1594.29, 792, 0.875
1, 1808, 1754.67, 793, 1.125
1, 1686.67, 1953.33, 794, 0.75
1, 1656.62, 1979.08, 795, 0.8125
1, 1789.09, 1873.45, 796, 0.6875
1, 1661.33, 1522.67, 797, 0.375
1, 2216.53, 1424, 798, 0.9375
1, 1648, 1902.22, 799, 0.5625
1, 1803.43, 1757.71, 800, 0.875
1, 2086.86, 1545.14, 801, 0.875
1, 2461.33, 1352, 802, 0.375
1, 1824, 1822.4, 803, 0.625
1, 1805.33, 1885.33, 804, 0.75
1, 1648, 1987.56, 805, 0.5625
1, 1902.93, 1758.93, 806, 0.9375
1, 1309.54, 1991.38, 807, 0.8125
1, 1664, 2161.6, 808, 0.625
1, 2219.2, 1457.6, 809, 0.625
1, 1970.67, 1733.33, 810, 0.75
1, 1323.08, 2046.77, 811, 0.8125
1, 1940.57, 1686.86, 812, 0.4375
1, 2183.11, 1486.22, 813, 0.5625
1, 1972.57, 1381.71, 814, 0.875
1, 2201.6, 1616, 815, 0.9375
1, 1698.91, 1851.64, 816, 0.6875
1, 1457.6, 2027.2, 817, 0.625
1, 2116.57, 1833.14, 818, 0.4375
1, 2112, 1549, 819, 1
1, 2081.45, 1576.73, 820, 0.6875
1, 1869.33, 1788, 821, 0.75
1, 1924.92, 1825.23, 822, 0.8125
1, 1879.11, 1681.78, 823, 0.5625
1, 1411.2, 2108.8, 824, 0.3125
